code,city1,city2,city3,1년,2년,3년,4년,5년,6년,7년,8년,9년,10년,11년,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년
138,경상북도,포항시,포항,894.365645,894.2940958,894.2225522,894.1510144,894.0794824,894.007956,893.9364354,893.8649204,893.7934113,893.7219078,893.65041,893.578918,893.5074317,893.4359511,893.3644762,893.2930071,893.2215436,893.1500859,893.0786339,893.0071876,892.935747,892.8643122,892.792883,892.7214596,892.6500419
143,대구광역시,동구,대구,1102.84827,1102.760042,1102.671821,1102.583608,1102.495401,1102.407201,1102.319009,1102.230823,1102.142645,1102.054473,1101.966309,1101.878152,1101.790001,1101.701858,1101.613722,1101.525593,1101.437471,1101.349356,1101.261248,1101.173147,1101.085053,1100.996966,1100.908887,1100.820814,1100.732748
146,전라북도,전주시,전주,1155.567447,1155.475002,1155.382564,1155.290133,1155.19771,1155.105294,1155.012886,1154.920485,1154.828091,1154.735705,1154.643326,1154.550955,1154.45859,1154.366234,1154.273884,1154.181543,1154.089208,1153.996881,1153.904561,1153.812249,1153.719944,1153.627646,1153.535356,1153.443073,1153.350798
155,경상남도,창원시,창원,1200.317002,1200.220977,1200.124959,1200.028949,1199.932947,1199.836952,1199.740965,1199.644986,1199.549014,1199.45305,1199.357094,1199.261145,1199.165205,1199.069271,1198.973346,1198.877428,1198.781518,1198.685615,1198.58972,1198.493833,1198.397954,1198.302082,1198.206218,1198.110361,1198.014512
156,광주광역시,북구,광주,1153.411035,1153.318762,1153.226496,1153.134238,1153.041987,1152.949744,1152.857508,1152.76528,1152.673058,1152.580844,1152.488638,1152.396439,1152.304247,1152.212063,1152.119886,1152.027716,1151.935554,1151.843399,1151.751252,1151.659112,1151.566979,1151.474854,1151.382736,1151.290625,1151.198522
159,부산광역시,중구,부산,1040.557276,1040.474032,1040.390794,1040.307562,1040.224338,1040.14112,1040.057909,1039.974704,1039.891506,1039.808315,1039.72513,1039.641952,1039.558781,1039.475616,1039.392458,1039.309307,1039.226162,1039.143024,1039.059892,1038.976767,1038.893649,1038.810538,1038.727433,1038.644335,1038.561243
165,전라남도,목포시,목포,983.8501607,983.7714527,983.692751,983.6140555,983.5353664,983.4566836,983.3780071,983.2993368,983.2206729,983.1420152,983.0633638,982.9847188,982.90608,982.8274475,982.7488213,982.6702014,982.5915878,982.5129805,982.4343794,982.3557847,982.2771962,982.198614,982.1200382,982.0414686,981.9629052
168,전라남도,여수시,여수,938.0804276,938.0053811,937.9303407,937.8553063,937.7802778,937.7052554,937.630239,937.5552286,937.4802242,937.4052257,937.3302333,937.2552469,937.1802665,937.1052921,937.0303236,936.9553612,936.8804048,936.8054544,936.7305099,936.6555715,936.580639,936.5057126,936.4307921,936.3558777,936.2809692
169,전라남도,신안군,흑산도,1058.54209,1058.457406,1058.37273,1058.28806,1058.203397,1058.118741,1058.034091,1057.949449,1057.864813,1057.780183,1057.695561,1057.610945,1057.526336,1057.441734,1057.357139,1057.27255,1057.187969,1057.103394,1057.018825,1056.934264,1056.849709,1056.765161,1056.68062,1056.596085,1056.511558
172,전라북도,고창군,고창군,940.2465693,940.1713495,940.0961358,940.0209281,939.9457265,939.8705308,939.7953412,939.7201575,939.6449799,939.5698083,939.4946427,939.4194832,939.3443296,939.2691821,939.1940405,939.118905,939.0437755,938.968652,938.8935345,938.818423,938.7433175,938.6682181,938.5931246,938.5180372,938.4429557
177,충청남도,홍성군,홍성,1107.404326,1107.315733,1107.227148,1107.13857,1107.049999,1106.961435,1106.872878,1106.784328,1106.695785,1106.60725,1106.518721,1106.430199,1106.341685,1106.253178,1106.164677,1106.076184,1105.987698,1105.899219,1105.810747,1105.722282,1105.633825,1105.545374,1105.45693,1105.368494,1105.280064
184,제주특별자치도,제주시,제주,1041.210177,1041.12688,1041.04359,1040.960306,1040.877029,1040.793759,1040.710496,1040.627239,1040.543989,1040.460745,1040.377508,1040.294278,1040.211054,1040.127838,1040.044627,1039.961424,1039.878227,1039.795037,1039.711853,1039.628676,1039.545506,1039.462342,1039.379185,1039.296035,1039.212891
192,경상남도,진주시,진주,865.0257874,864.9565853,864.8873888,864.8181978,864.7490124,864.6798324,864.6106581,864.5414892,864.4723259,864.4031681,864.3340158,864.2648691,864.1957279,864.1265923,864.0574621,863.9883376,863.9192185,863.8501049,863.7809969,863.7118945,863.6427975,863.5737061,863.5046202,863.4355398,863.366465
252,전라남도,영광군,영광군,1145.779155,1145.687493,1145.595838,1145.50419,1145.41255,1145.320917,1145.229291,1145.137673,1145.046062,1144.954458,1144.862862,1144.771273,1144.679691,1144.588117,1144.49655,1144.40499,1144.313438,1144.221893,1144.130355,1144.038824,1143.947301,1143.855786,1143.764277,1143.672776,1143.581282
253,경상남도,김해시,김해시,860.3335228,860.2646961,860.195875,860.1270593,860.0582491,859.9894445,859.9206453,859.8518517,859.7830635,859.7142809,859.6455037,859.5767321,859.5079659,859.4392053,859.3704502,859.3017005,859.2329564,859.1642178,859.0954846,859.026757,858.9580348,858.8893182,858.8206071,858.7519014,858.6832012
254,전라북도,순창군,순창군,1110.208426,1110.11961,1110.0308,1109.941998,1109.853202,1109.764414,1109.675633,1109.586859,1109.498092,1109.409332,1109.320579,1109.231834,1109.143095,1109.054364,1108.965639,1108.876922,1108.788212,1108.699509,1108.610813,1108.522124,1108.433442,1108.344767,1108.2561,1108.167439,1108.078786
257,경상남도,양산시,양산시,723.8214247,723.7635189,723.7056179,723.6477214,723.5898296,723.5319424,723.4740598,723.4161819,723.3583086,723.30044,723.2425759,723.1847165,723.1268617,723.0690116,723.0111661,722.9533252,722.8954889,722.8376573,722.7798303,722.7220079,722.6641901,722.606377,722.5485685,722.4907646,722.4329653
258,전라남도,보성군,보성군,846.8800942,846.8123438,846.7445988,846.6768592,846.6091251,846.5413963,846.473673,846.4059551,846.3382426,846.2705356,846.2028339,846.1351377,846.0674469,845.9997615,845.9320815,845.864407,845.7967378,845.7290741,845.6614157,845.5937628,845.5261153,845.4584732,845.3908366,845.3232053,845.2555794
259,전라남도,강진군,강진군,853.3646204,853.2963512,853.2280875,853.1598292,853.0915765,853.0233291,852.9550873,852.8868509,852.8186199,852.7503944,852.6821744,852.6139598,852.5457507,852.477547,852.4093488,852.3411561,852.2729688,852.204787,852.1366106,852.0684396,852.0002742,851.9321141,851.8639596,851.7958105,851.7276668
263,경상남도,의령군,의령군,1139.145216,1139.054084,1138.96296,1138.871843,1138.780733,1138.689631,1138.598536,1138.507448,1138.416367,1138.325294,1138.234228,1138.143169,1138.052118,1137.961074,1137.870037,1137.779007,1137.687985,1137.59697,1137.505962,1137.414961,1137.323968,1137.232982,1137.142004,1137.051032,1136.960068
264,경상남도,함양군,함양군,1136.470375,1136.379457,1136.288547,1136.197644,1136.106748,1136.01586,1135.924978,1135.834104,1135.743238,1135.652378,1135.561526,1135.470681,1135.379843,1135.289013,1135.19819,1135.107374,1135.016565,1134.925764,1134.83497,1134.744183,1134.653404,1134.562632,1134.471866,1134.381109,1134.290358
266,전라남도,광양시,광양시,1157.684943,1157.592328,1157.499721,1157.407121,1157.314528,1157.221943,1157.129365,1157.036795,1156.944232,1156.851676,1156.759128,1156.666587,1156.574054,1156.481528,1156.38901,1156.296499,1156.203995,1156.111499,1156.01901,1155.926528,1155.834054,1155.741587,1155.649128,1155.556676,1155.464231
276,경상북도,청송군,청송군,1092.228825,1092.141446,1092.054075,1091.966711,1091.879353,1091.792003,1091.70466,1091.617323,1091.529994,1091.442672,1091.355356,1091.268048,1091.180746,1091.093452,1091.006164,1090.918884,1090.83161,1090.744344,1090.657084,1090.569832,1090.482586,1090.395347,1090.308116,1090.220891,1090.133674
283,경상북도,경주시,경주시,961.8033971,961.7264528,961.6495147,961.5725827,961.4956569,961.4187373,961.3418238,961.2649164,961.1880152,961.1111202,961.0342313,960.9573486,960.880472,960.8036015,960.7267372,960.6498791,960.5730271,960.4961813,960.4193416,960.342508,960.2656806,960.1888594,960.1120443,960.0352353,959.9584325
